DateKey,FullDate,DayNumber,MonthNumber,Year,CalendarQuarter,Season,HolidayIndicator
2020-08-04,2020-08-04,4,8,2020,3,summer,False
2020-06-19,2020-06-19,19,6,2020,2,spring,False
2020-03-20,2020-03-20,20,3,2020,1,winter,False
2020-05-19,2020-05-19,19,5,2020,2,spring,False
2020-02-25,2020-02-25,25,2,2020,1,winter,False
2020-07-17,2020-07-17,17,7,2020,2,summer,False
2020-03-10,2020-03-10,10,3,2020,1,winter,False
2020-04-10,2020-04-10,10,4,2020,2,spring,False
2020-07-15,2020-07-15,15,7,2020,2,summer,False
2020-04-02,2020-04-02,2,4,2020,2,spring,False
2020-09-17,2020-09-17,17,9,2020,3,summer,False
2020-08-14,2020-08-14,14,8,2020,3,summer,False
2020-01-28,2020-01-28,28,1,2020,1,winter,False
2020-08-11,2020-08-11,11,8,2020,3,summer,False
2020-05-11,2020-05-11,11,5,2020,2,spring,False
2020-04-30,2020-04-30,30,4,2020,2,spring,False
2020-09-25,2020-09-25,25,9,2020,3,autumn,False
2020-10-17,2020-10-17,17,10,2020,3,autumn,False
2020-09-28,2020-09-28,28,9,2020,3,autumn,False
2020-10-29,2020-10-29,29,10,2020,3,autumn,False
2020-11-10,2020-11-10,10,11,2020,3,autumn,False
2020-03-23,2020-03-23,23,3,2020,1,spring,False
2020-09-04,2020-09-04,4,9,2020,3,summer,False
2020-10-16,2020-10-16,16,10,2020,3,autumn,False
2020-03-31,2020-03-31,31,3,2020,1,spring,False
2020-10-15,2020-10-15,15,10,2020,3,autumn,False
2020-07-23,2020-07-23,23,7,2020,2,summer,False
2020-04-28,2020-04-28,28,4,2020,2,spring,False
2020-08-28,2020-08-28,28,8,2020,3,summer,False
2020-07-11,2020-07-11,11,7,2020,2,summer,False
2020-03-29,2020-03-29,29,3,2020,1,spring,False
2020-09-23,2020-09-23,23,9,2020,3,autumn,False
2020-10-18,2020-10-18,18,10,2020,3,autumn,False
2020-10-22,2020-10-22,22,10,2020,3,autumn,False
2020-10-07,2020-10-07,7,10,2020,3,autumn,False
2020-09-01,2020-09-01,1,9,2020,3,summer,False
2020-03-19,2020-03-19,19,3,2020,1,winter,False
2020-04-03,2020-04-03,3,4,2020,2,spring,False
2020-05-08,2020-05-08,8,5,2020,2,spring,False
2020-05-21,2020-05-21,21,5,2020,2,spring,False
2020-10-06,2020-10-06,6,10,2020,3,autumn,False
2020-09-18,2020-09-18,18,9,2020,3,summer,False
2020-10-27,2020-10-27,27,10,2020,3,autumn,False
2020-01-15,2020-01-15,15,1,2020,1,winter,False
2020-08-18,2020-08-18,18,8,2020,3,summer,False
2020-10-02,2020-10-02,2,10,2020,3,autumn,False
2020-03-13,2020-03-13,13,3,2020,1,winter,False
2020-01-27,2020-01-27,27,1,2020,1,winter,False
2020-02-18,2020-02-18,18,2,2020,1,winter,False
2020-01-29,2020-01-29,29,1,2020,1,winter,False
2020-01-16,2020-01-16,16,1,2020,1,winter,False
2020-03-01,2020-03-01,1,3,2020,1,winter,False
2020-02-04,2020-02-04,4,2,2020,1,winter,False
2020-02-13,2020-02-13,13,2,2020,1,winter,False
2020-04-23,2020-04-23,23,4,2020,2,spring,False
2020-11-13,2020-11-13,13,11,2020,3,autumn,False
2020-11-12,2020-11-12,12,11,2020,3,autumn,False
2020-10-01,2020-10-01,1,10,2020,3,autumn,False
2020-06-12,2020-06-12,12,6,2020,2,spring,False
2020-03-24,2020-03-24,24,3,2020,1,spring,False
2020-02-05,2020-02-05,5,2,2020,1,winter,True
2020-08-27,2020-08-27,27,8,2020,3,summer,False
2020-06-15,2020-06-15,15,6,2020,2,spring,False
2020-07-30,2020-07-30,30,7,2020,2,summer,False
2020-01-21,2020-01-21,21,1,2020,1,winter,False
2020-04-01,2020-04-01,1,4,2020,2,spring,False
2020-07-03,2020-07-03,3,7,2020,2,summer,True
2020-09-30,2020-09-30,30,9,2020,3,autumn,False
2020-06-08,2020-06-08,8,6,2020,2,spring,False
2020-09-24,2020-09-24,24,9,2020,3,autumn,False
2020-05-20,2020-05-20,20,5,2020,2,spring,False
2020-08-06,2020-08-06,6,8,2020,3,summer,False
2020-02-14,2020-02-14,14,2,2020,1,winter,False
2020-04-16,2020-04-16,16,4,2020,2,spring,False
2020-10-30,2020-10-30,30,10,2020,3,autumn,False
2020-05-05,2020-05-05,5,5,2020,2,spring,False
2020-07-13,2020-07-13,13,7,2020,2,summer,False
2020-04-29,2020-04-29,29,4,2020,2,spring,False
2020-09-15,2020-09-15,15,9,2020,3,summer,False
2020-06-05,2020-06-05,5,6,2020,2,spring,False
2020-01-23,2020-01-23,23,1,2020,1,winter,False
2020-09-10,2020-09-10,10,9,2020,3,summer,False
2020-05-22,2020-05-22,22,5,2020,2,spring,False
2020-07-10,2020-07-10,10,7,2020,2,summer,False
2020-05-29,2020-05-29,29,5,2020,2,spring,False
2020-10-20,2020-10-20,20,10,2020,3,autumn,False
2020-07-28,2020-07-28,28,7,2020,2,summer,False
2020-06-23,2020-06-23,23,6,2020,2,summer,False
2020-06-02,2020-06-02,2,6,2020,2,spring,False
2020-04-24,2020-04-24,24,4,2020,2,spring,False
2020-05-26,2020-05-26,26,5,2020,2,spring,False
2020-09-08,2020-09-08,8,9,2020,3,summer,False
2020-08-31,2020-08-31,31,8,2020,3,summer,False
2020-06-30,2020-06-30,30,6,2020,2,summer,False
2020-09-22,2020-09-22,22,9,2020,3,summer,False
2020-03-26,2020-03-26,26,3,2020,1,spring,False
2020-11-19,2020-11-19,19,11,2020,3,autumn,False
2020-02-19,2020-02-19,19,2,2020,1,winter,False
2020-07-08,2020-07-08,8,7,2020,2,summer,False
2020-01-08,2020-01-08,8,1,2020,1,winter,False
2020-11-03,2020-11-03,3,11,2020,3,autumn,False
2020-03-12,2020-03-12,12,3,2020,1,winter,False
2020-02-06,2020-02-06,6,2,2020,1,winter,False
2020-03-05,2020-03-05,5,3,2020,1,winter,False
2020-04-08,2020-04-08,8,4,2020,2,spring,False
2020-02-11,2020-02-11,11,2,2020,1,winter,False
2020-06-16,2020-06-16,16,6,2020,2,spring,False
2020-03-03,2020-03-03,3,3,2020,1,winter,False
2020-11-09,2020-11-09,9,11,2020,3,autumn,False
2020-11-06,2020-11-06,6,11,2020,3,autumn,False
2020-07-24,2020-07-24,24,7,2020,2,summer,False
2020-03-16,2020-03-16,16,3,2020,1,winter,True
2020-08-02,2020-08-02,2,8,2020,3,summer,False
2020-01-31,2020-01-31,31,1,2020,1,winter,False
2020-08-20,2020-08-20,20,8,2020,3,summer,False
2020-06-11,2020-06-11,11,6,2020,2,spring,False
2020-10-08,2020-10-08,8,10,2020,3,autumn,False
2020-01-10,2020-01-10,10,1,2020,1,winter,False
2020-08-25,2020-08-25,25,8,2020,3,summer,False
2020-10-13,2020-10-13,13,10,2020,3,autumn,False
2020-03-04,2020-03-04,4,3,2020,1,winter,False
2020-05-12,2020-05-12,12,5,2020,2,spring,False
2020-02-20,2020-02-20,20,2,2020,1,winter,False
2020-07-22,2020-07-22,22,7,2020,2,summer,False
2020-08-13,2020-08-13,13,8,2020,3,summer,False
2020-02-26,2020-02-26,26,2,2020,1,winter,False
2020-10-26,2020-10-26,26,10,2020,3,autumn,False
2020-07-27,2020-07-27,27,7,2020,2,summer,False
2020-04-17,2020-04-17,17,4,2020,2,spring,False
2020-05-28,2020-05-28,28,5,2020,2,spring,False
2020-01-14,2020-01-14,14,1,2020,1,winter,False
2020-09-16,2020-09-16,16,9,2020,3,summer,True
2020-03-06,2020-03-06,6,3,2020,1,winter,False
2020-01-17,2020-01-17,17,1,2020,1,winter,False
2020-04-09,2020-04-09,9,4,2020,2,spring,False
2020-01-09,2020-01-09,9,1,2020,1,winter,False
2020-09-29,2020-09-29,29,9,2020,3,autumn,False
2020-03-11,2020-03-11,11,3,2020,1,winter,False
2020-04-20,2020-04-20,20,4,2020,2,spring,False
2020-02-21,2020-02-21,21,2,2020,1,winter,False
2020-10-14,2020-10-14,14,10,2020,3,autumn,False
2020-06-09,2020-06-09,9,6,2020,2,spring,False
2020-05-27,2020-05-27,27,5,2020,2,spring,False
2020-08-05,2020-08-05,5,8,2020,3,summer,False
2020-09-02,2020-09-02,2,9,2020,3,summer,False
2020-08-21,2020-08-21,21,8,2020,3,summer,False
2020-09-03,2020-09-03,3,9,2020,3,summer,False
2020-11-20,2020-11-20,20,11,2020,3,autumn,True
2020-08-19,2020-08-19,19,8,2020,3,summer,False
2020-05-10,2020-05-10,10,5,2020,2,spring,False
2020-02-24,2020-02-24,24,2,2020,1,winter,False
2020-07-01,2020-07-01,1,7,2020,2,summer,False
2020-02-28,2020-02-28,28,2,2020,1,winter,False
2020-07-16,2020-07-16,16,7,2020,2,summer,False
2020-03-17,2020-03-17,17,3,2020,1,winter,False
2020-06-01,2020-06-01,1,6,2020,2,spring,False
2020-11-17,2020-11-17,17,11,2020,3,autumn,False
2020-10-09,2020-10-09,9,10,2020,3,autumn,False
2020-04-22,2020-04-22,22,4,2020,2,spring,False
2020-06-22,2020-06-22,22,6,2020,2,summer,False
2020-07-29,2020-07-29,29,7,2020,2,summer,False
2020-05-18,2020-05-18,18,5,2020,2,spring,False
2020-01-30,2020-01-30,30,1,2020,1,winter,False
2020-04-14,2020-04-14,14,4,2020,2,spring,False
2020-06-10,2020-06-10,10,6,2020,2,spring,False
2020-05-15,2020-05-15,15,5,2020,2,spring,False
2020-10-23,2020-10-23,23,10,2020,3,autumn,False
2020-08-22,2020-08-22,22,8,2020,3,summer,False
2020-06-04,2020-06-04,4,6,2020,2,spring,False
2020-06-25,2020-06-25,25,6,2020,2,summer,False
2020-09-09,2020-09-09,9,9,2020,3,summer,False
2020-02-27,2020-02-27,27,2,2020,1,winter,False
2020-07-21,2020-07-21,21,7,2020,2,summer,False
2020-04-06,2020-04-06,6,4,2020,2,spring,False
2020-03-07,2020-03-07,7,3,2020,1,winter,False
2020-05-01,2020-05-01,1,5,2020,2,spring,True
2020-11-23,2020-11-23,23,11,2020,3,autumn,False
2020-01-03,2020-01-03,3,1,2020,1,winter,False
2020-08-10,2020-08-10,10,8,2020,3,summer,False
2020-02-17,2020-02-17,17,2,2020,1,winter,True
2020-06-18,2020-06-18,18,6,2020,2,spring,False
2020-09-11,2020-09-11,11,9,2020,3,summer,False
2020-07-14,2020-07-14,14,7,2020,2,summer,False
2020-05-13,2020-05-13,13,5,2020,2,spring,False
2020-02-03,2020-02-03,3,2,2020,1,winter,True
2020-11-05,2020-11-05,5,11,2020,3,autumn,False
2020-10-05,2020-10-05,5,10,2020,3,autumn,False
2020-05-04,2020-05-04,4,5,2020,2,spring,False
2020-06-17,2020-06-17,17,6,2020,2,spring,False
2020-03-30,2020-03-30,30,3,2020,1,spring,False
2020-06-24,2020-06-24,24,6,2020,2,summer,False
2020-01-13,2020-01-13,13,1,2020,1,winter,False
2020-06-07,2020-06-07,7,6,2020,2,spring,False
2020-08-03,2020-08-03,3,8,2020,3,summer,False
2020-05-07,2020-05-07,7,5,2020,2,spring,False
2020-06-21,2020-06-21,21,6,2020,2,summer,False
2020-07-09,2020-07-09,9,7,2020,2,summer,False
2020-07-31,2020-07-31,31,7,2020,2,summer,False
2020-04-15,2020-04-15,15,4,2020,2,spring,False
2020-08-26,2020-08-26,26,8,2020,3,summer,False
2020-01-24,2020-01-24,24,1,2020,1,winter,False
2020-08-23,2020-08-23,23,8,2020,3,summer,False
2020-10-31,2020-10-31,31,10,2020,3,autumn,False
2020-08-12,2020-08-12,12,8,2020,3,summer,False
2020-02-07,2020-02-07,7,2,2020,1,winter,False
2020-07-12,2020-07-12,12,7,2020,2,summer,False
